Num,TimeStamp,RunTimeRemaining,VolatgeDC,CurrentDC
1 ,2019-01-11 13:38:06.813375, NA, 543.9298706054688, NA,
2 ,2019-01-11 13:38:07.834791, 401.16204833984375, 543.8875732421875, 0.03435162827372551,
3 ,2019-01-11 13:38:08.856269, 401.16204833984375, 543.84521484375, 0.0,
4 ,2019-01-11 13:38:09.778590, 401.16204833984375, 543.90869140625, 0.04580216854810715,
5 ,2019-01-11 13:38:10.809025, 401.16204833984375, 544.7132568359375, 0.015267389826476574,
6 ,2019-01-11 13:38:11.832610, 401.16204833984375, 544.6708984375, 0.0038168474566191435,
7 ,2019-01-11 13:38:12.854730, 401.16204833984375, 544.6708984375, 0.015267389826476574,
8 ,2019-01-11 13:38:13.778006, 401.16204833984375, 544.7132568359375, -0.03435162827372551,
9 ,2019-01-11 13:38:14.810011, 401.16204833984375, 544.692138671875, 0.011450542137026787,
10 ,2019-01-11 13:38:15.836935, 401.16204833984375, 543.90869140625, -0.015267389826476574,
11 ,2019-01-11 13:38:16.855966, 401.16204833984375, 543.8875732421875, 0.011450542137026787,
12 ,2019-01-11 13:38:17.879583, 401.16204833984375, 543.8663330078125, -0.03816847503185272,
13 ,2019-01-11 13:38:18.804295, 401.16204833984375, 543.8875732421875, 0.01908423751592636,
14 ,2019-01-11 13:38:19.829816, 401.16204833984375, 544.6708984375, 0.03816847503185272,
15 ,2019-01-11 13:38:20.850131, 401.16204833984375, 544.692138671875, 0.007633694913238287,
16 ,2019-01-11 13:38:21.871740, 401.16204833984375, 544.6286010742188, 0.026717932894825935,
17 ,2019-01-11 13:38:22.794818, 401.16204833984375, 544.6497802734375, 0.022901084274053574,
18 ,2019-01-11 13:38:23.822507, 401.16204833984375, 543.8875732421875, -0.007633694913238287,
19 ,2019-01-11 13:38:24.846659, 401.16204833984375, 543.8875732421875, -0.03435162827372551,
20 ,2019-01-11 13:38:25.868565, 401.16204833984375, 543.8663330078125, 0.03816847503185272,
21 ,2019-01-11 13:38:26.789407, 401.16204833984375, 543.8663330078125, -0.015267389826476574,
22 ,2019-01-11 13:38:27.816902, 401.16204833984375, 543.8663330078125, 0.026717932894825935,
23 ,2019-01-11 13:38:28.847392, 401.16204833984375, 544.6708984375, 0.041985321789979935,
24 ,2019-01-11 13:38:29.772586, 401.16204833984375, 544.6708984375, 0.007633694913238287,
25 ,2019-01-11 13:38:30.870444, 401.16204833984375, 544.692138671875, -0.0038168474566191435,
26 ,2019-01-11 13:38:31.809139, 401.16204833984375, 544.6497802734375, 0.03435162827372551,
27 ,2019-01-11 13:38:32.859040, 401.16204833984375, 543.8663330078125, -0.030534779652953148,
28 ,2019-01-11 13:38:33.913510, 401.16204833984375, 543.8663330078125, -0.007633694913238287,
29 ,2019-01-11 13:38:34.846129, 401.16204833984375, 543.90869140625, 0.04580216854810715,
30 ,2019-01-11 13:38:35.780288, 401.16204833984375, 543.8663330078125, -0.015267389826476574,
31 ,2019-01-11 13:38:36.832666, 401.16204833984375, 543.8663330078125, 0.007633694913238287,
32 ,2019-01-11 13:38:37.862904, 401.16204833984375, 543.8875732421875, 0.01908423751592636,
33 ,2019-01-11 13:38:38.805995, 401.16204833984375, 543.8663330078125, 0.0038168474566191435,
34 ,2019-01-11 13:38:39.854994, 401.16204833984375, 543.8875732421875, -0.0038168474566191435,
35 ,2019-01-11 13:38:40.794175, 401.16204833984375, 543.84521484375, 0.015267389826476574,
36 ,2019-01-11 13:38:41.841833, 401.16204833984375, 543.8663330078125, -0.03435162827372551,
37 ,2019-01-11 13:38:42.890990, 401.16204833984375, NA, 0.015267389826476574,
38 ,2019-01-11 13:38:43.828651, 401.16204833984375, 543.90869140625, 0.03816847503185272,
39 ,2019-01-11 13:38:44.874783, 401.16204833984375, 543.8875732421875, -0.011450542137026787,
40 ,2019-01-11 13:38:45.918242, 401.16204833984375, 543.9298706054688, 0.01908423751592636,
41 ,2019-01-11 13:38:46.852231, 401.16204833984375, 543.8875732421875, 0.011450542137026787,
42 ,2019-01-11 13:38:47.901314, 401.16204833984375, 543.929931640625, 0.041985321789979935,
43 ,2019-01-11 13:38:48.803424, 401.16204833984375, 543.8663330078125, 0.007633694913238287,
44 ,2019-01-11 13:38:49.849331, 401.16204833984375, 543.8875732421875, 0.026717932894825935,
45 ,2019-01-11 13:38:50.773936, 401.16204833984375, 543.8663330078125, 0.015267389826476574,
46 ,2019-01-11 13:38:51.808468, 401.16204833984375, 543.8663330078125, -0.026717932894825935,
47 ,2019-01-11 13:38:52.860989, 401.16204833984375, 543.8875732421875, 0.022901084274053574,
48 ,2019-01-11 13:38:53.779051, 401.16204833984375, 543.8663330078125, 0.007633694913238287,
49 ,2019-01-11 13:38:54.813097, 401.16204833984375, 543.8663330078125, -0.015267389826476574,
50 ,2019-01-11 13:38:55.866724, 401.16204833984375, NA, 0.0038168474566191435,
51 ,2019-01-11 13:38:56.916673, 401.16204833984375, 543.8663330078125, 0.041985321789979935,
52 ,2019-01-11 13:38:57.855343, 401.16204833984375, 543.8663330078125, -0.026717932894825935,
53 ,2019-01-11 13:38:58.788164, 401.16204833984375, 543.8875732421875, -0.0038168474566191435,
54 ,2019-01-11 13:38:59.898422, 401.16204833984375, 544.6708984375, 0.0038168474566191435,
55 ,2019-01-11 13:39:00.823864, 401.16204833984375, 544.6708984375, -0.011450542137026787,
56 ,2019-01-11 13:39:01.845395, 401.16204833984375, 544.7132568359375, 0.015267389826476574,
57 ,2019-01-11 13:39:02.870395, 401.16204833984375, 544.6920776367188, 0.01908423751592636,
